category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-13_Ly-13_h-0.1,91,1092,546,225,148,952,588,229,186
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-19_Ly-19_h-0.5,190,2280,1140,411,272,1894,1134,186,138
discreteoptimization,TSP_Ncity-10-tsp_prob-pr76_Ncity-10_enc-unary,100,2800,1800,301,194,2683,1683,750,559
discreteoptimization,TSP_Ncity-10-tsp_prob-st70_Ncity-10_enc-unary,100,2800,1800,301,194,2683,1683,750,559
discreteoptimization,TSP_Ncity-16-tsp_prob-fl417_Ncity-16_enc-stdbinary,64,27904,24064,26473,22996,9353,5513,3133,2187
discreteoptimization,TSP_Ncity-16-tsp_prob-kroD100_Ncity-16_enc-stdbinary,64,27904,24064,26473,22996,9353,5513,3133,2187
discreteoptimization,TSP_Ncity-4-tsp_rand-002_Ncity-4_enc-stdbinary,8,176,128,139,106,111,63,57,45
discreteoptimization,TSP_Ncity-5-tsp_prob-ts225_Ncity-5_enc-unary,25,325,200,71,44,334,209,170,130
discreteoptimization,TSP_Ncity-7-tsp_prob-lin105_Ncity-7_enc-unary,49,931,588,145,92,903,560,271,212
discreteoptimization,TSP_Ncity-8-tsp_prob-d198_Ncity-8_enc-unary,64,1408,896,191,122,1360,848,386,291
discreteoptimization,TSP_Ncity-8-tsp_prob-ulysses22_Ncity-8_enc-stdbinary,24,2432,1984,2156,1793,1026,578,355,242
discreteoptimization,binary-color02-dsjc1000.1_k-3-dsjc1000.1,72,2637,1962,1097,864,1629,954,338,262
discreteoptimization,binary-graph-regular_k-5-reg-5_n-10_rinst-07,30,7345,6050,5416,4579,2881,1586,1419,848
discreteoptimization,gray-color02-1-fullins_5_k-5-1-fullins_5,144,30090,24756,15296,12963,12523,7189,3106,2147
discreteoptimization,gray-color02-will199gpia_k-3-will199gpia,120,6072,4560,2467,1958,3760,2248,816,616
discreteoptimization,unary-color02-ash608gpia_k-3-ash608gpia,480,3882,2268,170,108,4179,2565,200,177
discreteoptimization,unary-color02-queen13_13_k-4-queen13_13,112,1012,600,92,58,1067,655,85,74
